epoch,train_loss,test_loss,physics_loss
1,4.418679237365723,2.525883197784424,0.0
2,4.373773097991943,2.5099310874938965,0.0
3,4.328076362609863,2.493828296661377,0.0
4,4.280996322631836,2.477485179901123,0.0
5,4.2319464683532715,2.4606921672821045,0.0
6,4.180352210998535,2.4432597160339355,0.0
7,4.125648498535156,2.4249777793884277,0.0
8,4.0672526359558105,2.4056203365325928,0.0
9,4.004614353179932,2.384986400604248,0.0
10,3.937274932861328,2.362908363342285,0.0
11,3.8649158477783203,2.339280128479004,0.0
12,3.787395477294922,2.314065456390381,0.0
13,3.704793691635132,2.2873222827911377,0.0
14,3.6174683570861816,2.25923490524292,0.0
15,3.5261147022247314,2.2301406860351562,0.0
16,3.4318368434906006,2.2005667686462402,0.0
17,3.336216688156128,2.171262264251709,0.0
18,3.2413718700408936,2.1432321071624756,0.0
19,3.1499791145324707,2.1177279949188232,0.0
20,3.0652658939361572,2.0961861610412598,0.0
21,2.990920305252075,2.080094337463379,0.0
22,2.930737018585205,2.070728302001953,0.0
23,2.8878676891326904,2.0686776638031006,0.0
24,2.8636186122894287,2.0731868743896484,0.0
25,2.855764865875244,2.0813608169555664,0.0
26,2.8578641414642334,2.0882158279418945,0.0
27,2.8610448837280273,2.088204860687256,0.0
28,2.857734441757202,2.077523708343506,0.0
29,2.8446340560913086,2.055516481399536,0.0
30,2.8229293823242188,2.024332046508789,0.0
31,2.7965035438537598,1.9876060485839844,0.0
32,2.7696762084960938,1.9491195678710938,0.0
33,2.745736837387085,1.9119784832000732,0.0
34,2.7263131141662598,1.8782296180725098,0.0
35,2.711517810821533,1.8488949537277222,0.0
36,2.700192451477051,1.8240512609481812,0.0
37,2.690673351287842,1.803236961364746,0.0
38,2.6813015937805176,1.7857469320297241,0.0
39,2.670760154724121,1.770850419998169,0.0
40,2.6582348346710205,1.7579330205917358,0.0
41,2.6434199810028076,1.746551513671875,0.0
42,2.6264564990997314,1.7364346981048584,0.0
43,2.6078076362609863,1.7274678945541382,0.0
44,2.588118314743042,1.7196382284164429,0.0
45,2.568074941635132,1.712971568107605,0.0
46,2.5482704639434814,1.7074601650238037,0.0
47,2.5291213989257812,1.7030291557312012,0.0
48,2.510826826095581,1.6994913816452026,0.0
49,2.4933598041534424,1.6965408325195312,0.0
